time, disp, vel, accn, K.E., P.E., total energy
1.971971971971972,-7.644345481870927,-64.47013429007229,764.4345481870927,2078.199107689978,2921.800892310022,5000
1.981981981981982,-8.250348661878061,-56.50818255566791,825.0348661878061,1596.587347872346,3403.412652127655,5000.000000000001
1.991991991991992,-8.773752106006832,-47.98048976650891,877.3752106006832,1151.063699117033,3848.936300882965,4999.999999999998
2.002002002002002,-9.209315673747474,-38.97243233526631,920.9315673747474,759.4252410634556,4240.574758936545,5000
2.012012012012012,-9.552678648101457,-29.57419592500618,955.2678648101457,437.3165323053259,4562.683467694675,5000.000000000001
2.022022022022022,-9.800403393623981,-19.87987254044546,980.0403393623981,197.6046661121787,4802.395333887822,5000.000000000001
2.032032032032032,-9.950009772882156,-9.986518510219586,995.0009772882156,49.86527597747921,4950.13472402252,5000
2.042042042042042,-9.999999976762833,0.006817208671153933,999.9999976762833,2.323716703302818e-05,4999.999976762833,5000
2.052052052052052,-9.949873520037292,10.00008467594505,994.9873520037291,50.00084676303555,4949.999153236964,5000
2.062062062062062,-9.800132252052236,19.8932346346328,980.0132252052236,197.8703921142771,4802.129607885722,4999.999999999999
2.072072072072072,-9.552275332381713,29.58722017083021,955.2275332381713,437.7017987185911,4562.298201281408,4999.999999999999
2.082082082082082,-9.208784221742043,38.98498833832686,920.8784221742043,759.9146578697405,4240.08534213026,5000
2.092092092092092,-8.773097838435731,47.99245182029598,877.3097838435731,1151.637715861715,3848.362284138285,5000.000000000001
2.102102102102102,-8.249578129049738,56.5194309000933,824.9578129049737,1597.223034635211,3402.776965364789,5000
2.112112112112112,-7.64346639810277,64.48055631046762,764.346639810277,2078.871071053693,2921.128928946307,5000
2.122122122122122,-6.960830833854594,71.79612392215833,696.0830833854594,2577.341705122958,2422.658294877042,5000
2.132132132132132,-6.208505755631447,78.39289271502308,620.8505755631447,3072.722814114559,1927.27718588544,4999.999999999999
2.142142142142142,-5.394023190903035,84.20481804267513,539.4023190903034,3545.225690800014,1454.774309199988,5000.000000000002
2.152152152152152,-4.525537467138562,89.17371284942951,452.5537467138561,3975.975531676254,1024.024468323745,5000
2.162162162162162,-3.611743573402983,93.24983021967506,361.1743573402983,4347.765417999112,652.2345820008875,5000
2.172172172172172,-2.661790109029872,96.39236142738217,266.1790109029872,4645.743670773537,354.2563292264628,5000
